brand,logo_url,brand_id,category
Bottega Veneta,"https://cdn-identify-operate.thepoizon.ru/du_app/2019/image/news_byte33797byte_cfc1eb6a2da12681e440ff6f5a33d4e0_w150h150.png?x-oss-process=image/format,webp/resize,w_63,h_63",news_byte33797byte_cfc1eb6a2da12681e440ff6f5a33d4e0,clothes
Boy London,"https://cdn-identify-operate.thepoizon.ru/du_app/2019/image/news_byte12032byte_dc8badd06954530bab52bee2dcd2281e_w150h150.png?x-oss-process=image/format,webp/resize,w_63,h_63",news_byte12032byte_dc8badd06954530bab52bee2dcd2281e,clothes
Burberry,"https://cdn-img.thepoizon.ru/source-img/brand-img//a99fc96bb7074a239337ee35cde9553d-10032.png?x-oss-process=image/format,webp/resize,w_63,h_63",a99fc96bb7074a239337ee35cde9553d-10032,clothes
Calvin Klein,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230109/0baf22ac190647e29d80894712a5e5c1.png?x-oss-process=image/format,webp/resize,w_63,h_63",0baf22ac190647e29d80894712a5e5c1,clothes
CAMEL,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230221/38446086359d4c4ab09b9f87d2256873.jpg?x-oss-process=image/format,webp/resize,w_63,h_63",38446086359d4c4ab09b9f87d2256873,clothes
Carhartt,"https://cdn-identify-operate.thepoizon.ru/du_app/2019/image/news_byte23290byte_7f3066acd0097e02fa633de0edec8893_w350h350.jpg?x-oss-process=image/format,webp/resize,w_63,h_63",news_byte23290byte_7f3066acd0097e02fa633de0edec8893,clothes
Carhartt WIP,"https://cdn-identify-operate.thepoizon.ru/du_app/2019/image/news_byte9975byte_222768bbe7d7daffed18c85090de6153_w150h150.png?x-oss-process=image/format,webp/resize,w_63,h_63",news_byte9975byte_222768bbe7d7daffed18c85090de6153,clothes
CDG,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230210/624d56487c94432a8f1f136f68caf1d5.png?x-oss-process=image/format,webp/resize,w_63,h_63",624d56487c94432a8f1f136f68caf1d5,clothes
CDG Play,"https://cdn-identify-operate.thepoizon.ru/du_app/2019/image/news_byte30859byte_4b1af0b2a9bc9007a3f0c5385fea1f8d_w150h150.png?x-oss-process=image/format,webp/resize,w_63,h_63",news_byte30859byte_4b1af0b2a9bc9007a3f0c5385fea1f8d,clothes
Champion,"https://cdn-identify-operate.thepoizon.ru/du_app/2019/image/news_byte21403byte_6995f22e76a1a203f4f4dfd3ff43c21b_w150h150.png?x-oss-process=image/format,webp/resize,w_63,h_63",news_byte21403byte_6995f22e76a1a203f4f4dfd3ff43c21b,clothes
