brand,logo_url,brand_id,category
Palladium,"https://cdn-img.thepoizon.ru/source-img/brand-img//50f0fb4790d048d1b9e8e6a64f390eba-1000637.png?x-oss-process=image/format,webp/resize,w_63,h_63",50f0fb4790d048d1b9e8e6a64f390eba-1000637,bags
Patagonia,"https://cdn-img2.thepoizon.ru/news_byte32183byte_8446a2c1638a075386cb058a9ac0fbc6_w150h150.png?x-oss-process=image/format,webp/resize,w_63,h_63",news_byte32183byte_8446a2c1638a075386cb058a9ac0fbc6,bags
PEAK,"https://cdn-identify-operate.thepoizon.ru/du_app/2019/image/news_byte197244byte_4e366371baafae2add8e645e0e2d9071_w572h572.jpg?x-oss-process=image/format,webp/resize,w_63,h_63",news_byte197244byte_4e366371baafae2add8e645e0e2d9071,bags
PINKO,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230706/31d5ff1a9a3246078ea68a6e83f1ead3.png?x-oss-process=image/format,webp/resize,w_63,h_63",31d5ff1a9a3246078ea68a6e83f1ead3,bags
PLACES+FACES,"https://cdn-identify-operate.thepoizon.ru/du_app/2019/image/news_byte23684byte_2c9f8b8e687a435fb2e249e0ec6761ea_w1006h1006.png?x-oss-process=image/format,webp/resize,w_63,h_63",news_byte23684byte_2c9f8b8e687a435fb2e249e0ec6761ea,bags
PRADA,"https://cdn-img.thepoizon.ru/6ff72ed639ef4dfda5299ee0bc8ba9e2.png?x-oss-process=image/format,webp/resize,w_63,h_63",6ff72ed639ef4dfda5299ee0bc8ba9e2,bags
PUMA,"https://cdn-identify-operate.thepoizon.ru/du_app/2019/image/news_byte26564byte_a768870ae48f1a216dd756c2206c34b1_w150h150.png?x-oss-process=image/format,webp/resize,w_63,h_63",news_byte26564byte_a768870ae48f1a216dd756c2206c34b1,bags
Reebok,"https://cdn-identify-operate.thepoizon.ru/du_app/2019/image/news_byte8192byte_cda902674ee7d4d4c51d32b834a76e7b_w150h150.png?x-oss-process=image/format,webp/resize,w_63,h_63",news_byte8192byte_cda902674ee7d4d4c51d32b834a76e7b,bags
RIGORER,"https://cdn-img.thepoizon.ru/node-common/MjAyMjEyMTMtMTEzODMyMTY3MDkwMjc1OTExNg==.jpg?x-oss-process=image/format,webp/resize,w_63,h_63",MjAyMjEyMTMtMTEzODMyMTY3MDkwMjc1OTExNg==,bags
RIPNDIP,"https://cdn-identify-operate.thepoizon.ru/du_app/2019/image/news_byte35669byte_5e1b7e4e57ee4568bfb9bf657c8146c5_w150h150.png?x-oss-process=image/format,webp/resize,w_63,h_63",news_byte35669byte_5e1b7e4e57ee4568bfb9bf657c8146c5,bags
ROARINGWILD,"https://cdn-identify-operate.thepoizon.ru/du_app/2019/image/news_byte21733byte_bf73cc451933ed2392d31620c08f76d6_w150h150.png?x-oss-process=image/format,webp/resize,w_63,h_63",news_byte21733byte_bf73cc451933ed2392d31620c08f76d6,bags
SAINT LAURENT,"https://cdn-identify-operate.thepoizon.ru/du_app/2019/image/news_byte29430byte_88593ab0095ed38806e07d4afd4889cf_w150h150.png?x-oss-process=image/format,webp/resize,w_63,h_63",news_byte29430byte_88593ab0095ed38806e07d4afd4889cf,bags
SALOMON,"https://cdn-img.thepoizon.ru/source-img/brand-img//8269b24998fc4c0a944ad6d4db30ae67-1000079.png?x-oss-process=image/format,webp/resize,w_63,h_63",8269b24998fc4c0a944ad6d4db30ae67-1000079,bags
Samsonite,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230406/0d8d9e8b30164f58a76ac40bd0c80303.png?x-oss-process=image/format,webp/resize,w_63,h_63",0d8d9e8b30164f58a76ac40bd0c80303,bags
SEE BY CHLOE,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230406/5dc7ac31c0634ad3bc7a7c3fa9807780.png?x-oss-process=image/format,webp/resize,w_63,h_63",5dc7ac31c0634ad3bc7a7c3fa9807780,bags
Skechers,"https://cdn-img.thepoizon.ru/source-img/brand-img//e0410687994c4f28aac0a3f1ad186d1e-10336.png?x-oss-process=image/format,webp/resize,w_63,h_63",e0410687994c4f28aac0a3f1ad186d1e-10336,bags
Slazenger,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230703/4e8b4555122648cbb94588c6d021a5d0.jpg?x-oss-process=image/format,webp/resize,w_63,h_63",4e8b4555122648cbb94588c6d021a5d0,bags
